chunk_text,mapped_symptoms,doctor_answer
"Sau sinh 20 ngày, khi nhìn mặt trời là chảy nước mắt nhiều có sao không?",watering_from_eyes,"Hiện tượng chảy nước mắt có thể rất nhiều nguyên nhân như tắc lệ đạo, khô mắt, viêm giác mạc. . . . Các nguyên nhân trên đều có thể điều trị được bởi vậy bạn không quá lo lắng."
Trẻ bị thuỷ đậu sốt cao kèm theo mụn mọc kín người có nguy hiểm không?,high_fever,"bệnh thủy đậu có nhiều biến chứng rất phức tạp. Vậy nên, từ mô tả bạn cung cấp, bác sĩ chưa thể đưa ra ngay kết luận chính xác nhất."
Thường xuyên buồn nôn sau khi phẫu thuật liệu có nguy hiểm?,nausea,"Buồn nôn là một triệu chứng có thể xảy ra sau khi gây mê. Tuy nhiên, nếu nôn quá nhiều, gây mất nước và rối loạn điện giải thì bạn nên đưa ba đi khám bác sĩ để được tư vấn và có hướng xử lý phù hợp với tình trạng sức khỏe."
Chóng mặt khi nằm nghiêng sang trái cảnh báo bệnh lý gì?,dizziness,"Chóng mặt là ảo giác như mọi vật quay tròn, dịch chuyển xung quanh mình. Chóng mặt xảy ra khi thay đổi tư thế đầu thường gợi ý rối loạn tiền đình ngoại biên. Bạn nên đi khám bác sĩ để chẩn đoán chính xác bệnh và kê đơn điều trị ."
Sau mổ nội soi 10 ngày có hiện tượng tiểu buốt kèm máu thẫm có sao không?,burning_micturition,"Bác sĩ khuyên bạn nên đi khám để được tư vấn kỹ hơn. Bởi bạn không nói rõ là mổ nội soi ở cơ quan nào nên bác sĩ không thể tư vấn rõ, tuy nhiên tiểu buốt, tiểu máu có thể là triệu chứng của viêm bàng quang hoặc bệnh lý liên quan đến tiết niệu, vì vậy bạn cần khám để chẩn đoán bệnh cụ thể."
"Khắc phục tình trạng đau bụng, chóng mặt khi nhịn đói thế nào?","abdominal_pain, dizziness, belly_pain","Chắc bạn lo lắng quá thôi. Bạn chỉ cần nhịn ăn sáng rồi làm nội soi. Bệnh viện đã làm nội soi gây mê từ rất lâu rồi. An toàn – Hiệu quả và không mệt nhé. Tuy nhiên bạn còn hoa mắt chóng mặt nữa, có thể có thêm bệnh phối hợp. Bạn nên đi khám sớm nhé."
"Người cao tuổi bị béo phì, cao huyết áp, gan nhiễm mỡ có nên uống thực phẩm chức năng hỗ trợ giảm cân không?",obesity,"Thực phẩm chức năng gây giảm cân tác dụng theo các cơ chế: chặn hấp thu mỡ, ức chế sự thèm ăn, tăng chuyển hóa, các thuốc này vận hành liên quan đến việc điều chỉnh quy trình tự nhiên của cơ thể, do đó chúng có thể gây ra những ảnh hưởng nghiêm trọng đối với cơ thể. Đối với bệnh nhân Tim mạch nên tránh sử dụng các loại thực phẩm chức năng này. Đối với bệnh nhân lớn tuổi có bệnh tăng huyết áp và rối loạn lipid máu, bạn nên sử dụng thuốc hạ huyết áp thường xuyên dưới sự theo dõi của Bác sĩ Tim mạch, vận động nhẹ nhàng dưới sự tư vấn Bác sĩ Cơ Xương Khớp về bệnh khớp."
"Người tím tái, chóng mặt, cứng cổ sau khi dẫm phải đinh có nguy hiểm không?","dizziness, stiff_neck","Bạn nên đưa em trai đến thăm khám ở Bệnh viện gần nhất để có thể được chẩn đoán và chỉ định điều trị phù hợp. Lưu ý, ngay sau khi bị trầy xước do đâm vào đinh, sắt, cát, bụi bẩn. . . cần xử lý sạch vết thương, sau đó đến bệnh viện để khám và điều trị đề phòng bệnh uốn ván. Nếu vết thương tiếp xúc trực tiếp với trực khuẩn uốn ván Clostridium tetani có trong đất, cát bụi, phân trâu bò ngựa và gia cầm, cống rãnh, vi khuẩn có thể xâm nhập vào các vết thương, vết xây xước để phát triển thành ổ nhiễm trùng gây bệnh uốn ván."
Tiểu buốt tiểu rắt là dấu hiệu của bệnh gì?,"burning_micturition, spotting_ urination","Những triệu chứng tiểu buốt, tiểu rắt, ngứa rát là những triệu chứng điển hình của viêm đường tiết niệu. Người ta ghi nhận 50-60% phụ nữ bị nhiễm trùng đường tiểu trong cuộc đời họ. Bệnh xảy ra khi vi khuẩn xâm nhập vào đường tiết niệu gây viêm. Những yếu tố nguy cơ làm tăng nguy cơ mắc bệnh như: Quan hệ tình dục, phụ nữ mãn kinh, sỏi đường tiết niệu, đái đường, thói quen vệ sinh kém,...Trường hợp của em có các triệu chứng của nhiễm trùng đường tiểu, em lại bị đau lưng và 2 bên hông. Em nên đến cơ sở y tế có chuyên khoa nội thận tiết niệu để bác sĩ khám, làm xét nghiệm máu, nước tiểu, siêu âm hoặc có thể cần thiết cấy nước tiểu để xác định nguyên nhân từ đó đưa ra hướng điều trị phù hợp. Những trường hợp nhiễm trùng đường tiểu thấp thì thường chỉ có triệu chứng tiểu buốt, rắt nhưng nếu nhiễm trùng lan lên cao niệu quản, thận thì sẽ rất nguy hiểm. Việc điều trị chủ yếu là kháng sinh, điều trị nguyên nhân. Em nên uống nhiều nước trong ngày, vệ sinh sạch sẽ, cần thiết nên đi khám phụ khoa, nếu có bệnh phải điều trị tích cực."
"Đau bụng âm ỉ kèm rối loạn đi tiêu, đầy hơi chướng bụng có nguy hiểm không?","abdominal_pain, belly_pain, distention_of_abdomen","Nóng rát cổ họng, chướng bụng thường liên quan đến bệnh lý viêm thực quản trào ngược, viêm dạ dày. . . còn rối loạn đi tiêu, thường liên quan đến bệnh lý lành tính hoặc ác tính ở đại tràng."
Cổ họng có nhiều đờm kèm tức ngực là bệnh gì?,phlegm,"Muốn xác định có bị nhiễm Covid-19 hay không thì tiêu chuẩn hiện nay là làm xét nghiệm PCR dương tính. Do đó, muốn khẳng định vấn đề này thì dựa vào xét nghiệm, còn lại triệu chứng Covid-19 là đa dạng, có thể không có triệu chứng gì, có thể nhẹ, nặng và dài lâu (long haul Covid). Việc có đờm rất nhiều như bạn mô tả ở họng nên được thăm khám và đánh giá xem do đâu, có thể là do viêm mũi xoang, có thể là bệnh lý tại chỗ của họng, có thể là vấn đề thanh khí quản, phổi. Bác sĩ thông thường sẽ cần nhiều dữ liệu hơn trước khi đi đến 1 kết luận về chẩn đoán. Bạn có thể đến thăm khám bác sĩ chuyên khoa để được tư vấn cụ thể."
"Buổi chiều bị ớn lạnh, buổi tối người nóng ran là bị làm sao?",chills,"Sốt không phải là bệnh mà là một triệu chứng của một bệnh hay một vấn đề nào đó. Nguyên nhân gây ra sốt: Do nhiễm virusNhiễm trùng: Tất cả các loại nhiễm trùng đều có thể gây sốt trừ một số trường hợp như suy giảm miễn dịch hay quá già yếu. Sốt nhẹ về chiều thường gặp trong bệnh laoDo tiêm vacxinDo mọc răngMột số nguyên nhân khác: Ngộ độc, tác dụng phụ của thuốc, trong cơ thể có cục máu đông, các bệnh tự miễn, bệnh cường giáp. Trường hợp của bạn nên đi gặp bác sĩ để được khám và làm xét nghiệm nếu cần để tìm được nguyên nhân gây sốt"
"Lúc trước, mỗi lần em bị ong đốt (loại ong lá hay có trong vườn) là toàn thân người em bị ngứa và nổi hột, triệu chứng lần sau bị đốt càng nặng hơn lần trước. Năm 2015, em cũng bị ong này đốt một lần, bị nổi hột, ngứa, ép tim, chóng mặt, khó thở và tuột huyết áp. Sau đó, bác sĩ có cho em uống thuốc.Do em làm rẫy nên từ đó về sau em cũng bị loại ong này đốt khoảng 10 lần, nhưng không thấy dị ứng hay bất các triệu chứng gì như trên nữa. Các bác sĩ cho em biết có phải em đã từng bị sốc phản vệ do ong đốt không? Em có thể tiêm vaccine ngừa Covid-19 không?","dizziness, swollen_blood_vessels, breathlessness, itching","Theo như thông tin mà Anh/Chị cung cấp, có thể năm 2015, Anh/Chị đã từng bị phản vệ độ 1 sau khi bị ong đốt. Những lần sau Anh/Chị cũng không bị loại ong này đốt tiếp mà không có triệu chứng gì cũng là điều đáng mừng. Do vậy, Anh/Chị vẫn có thể được tiêm chủng vaccine Covid-19, nhưng Anh/Chị thuộc đối tượng cần thận trọng khi tiêm chủng, cần được tiêm chủng trong bệnh viện nơi có đủ điều kiện cấp cứu nếu chẳng may có phản vệ xảy ra (tuy rất hiếm). Khi khám, Anh/Chị cần thông báo cho bác sĩ các thông tin này để bác sĩ đánh giá và tư vấn cụ thể trước khi tiêm chủng. Sau tiêm, Anh/Chị cần tuân thủ theo đúng hướng dẫn của bác sỹ về theo dõi sau tiêm, nếu có bất kỳ dấu hiệu nào bất thường đặc biệt là các dấu hiệu phản vệ, Anh/Chị cần thông báo ngay cho nhân viên y tế hoặc đến ngay bệnh viện để được xử trí kịp thời."
Khó chịu từ vùng cổ đến vùng ức là dấu hiệu bệnh gì?,malaise,"Khi có cảm giác khó chịu vùng cổ đến vùng ức, một số bệnh cảnh có thể nghĩ đến: Bệnh lý tại phổiBệnh lý timBệnh lý dạ dày thực quản. Thường gặp nhất là trào ngược dạ dày thực quản. Rối loạn thần kinh thực vật. Tốt nhất bạn nên được khám, chụp phổi, đo điện tâm đồ, có thể nội soi dạ dày thực quản kiểm tra để có chẩn đoán rõ ràng và điều trị."
"Chân tay bủn rủn, chân không bước được, tay không cầm nổi vật dụng là dấu hiệu bệnh gì?",swollen_blood_vessels,"Triệu chứng chân tay bủn rủn, chân đi không vững có thể là dấu hiệu của nhiều bệnh. Vì thế, để đảm bảo sức khỏe thì tốt nhất bạn nên đến bệnh viện thuộc Hệ thống Y tế Vinmec để được đo huyết áp tư thế nằm và tư thế đứng để xem bạn có huyết áp thấp hay thay đổi huyết áp theo tư thế không. Bên cạnh đó, bạn cũng nên tái khám sớm để làm xét nghiệm máu, kiểm tra các vấn đề làm bạn bủn rủn tay chân và đuối sức."
"Cháu sức khoẻ bình thường, không bệnh nền. Trước đó, tháng 7/2020 cháu ăn tôm càng xanh, ăn cả đầu tôm, nơi có nhiều cholesterol nhất thì tối đó bị nổi mẩn khắp người. Khi cảm thấy khó thở cháu đến bệnh viện chích thuốc và bệnh viện cho về. Cháu dùng một viên dị ứng ngày hôm sau là khỏi. Vậy cháu có đủ điều kiện tiêm vaccine ngừa Covid-19 không?","swollen_blood_vessels, breathlessness","Theo như lời bạn kể thì bạn có tiền căn dị ứng thức ăn có nổi mề đay kèm khó thở (phản ứng phản vệ độ 2) phải nhập viện để chích thuốc, uống thuốc theo dõi mới hết, những trường hợp này theo hướng dẫn của Bộ Y tế bạn thuộc đối tượng chống chỉ định với vaccine Covid-19. Tuy không thể tiêm vaccine Covid-19 nhưng bạn vẫn có thể phòng bệnh hiệu quả bằng các biện pháp khác như thông điệp 5K của Chính phủ và Bộ Y tế."
Bắp tay bị sưng sau khi tiêm thuốc chống cơn gò bụng do đau dạ dày nên làm gì?,stomach_pain,"Nếu bạn tiêm bắp tay bị sưng thì bác sĩ cho rằng bạn bị áp xe vùng tiêm bắp tay. Tuy nhiên để có chẩn đoán chính xác hơn thì bác sĩ cần phải quan sát vết tiêm, sau đó có thể chỉ định một số phương pháp chẩn đoán cụ thể. Vì thế, bạn có thể thu xếp thời gian đến bệnh viện thuộc Hệ thống Y tế Vinmec để khám chuyên khoa."
Đau bụng âm ỉ kèm sốt nhẹ đi ngoài phân nát có sao không?,"abdominal_pain, belly_pain, mild_fever",Bạn bị đau bụng có sốt cần phải đi khám ngay để có chẩn đoán và điều trị phù hợp chứ không thể tư vấn điều trị mà không khám bụng được.
Thường xuyên đau bụng dưới rốn mỗi khi vận động là bệnh gì?,"abdominal_pain, belly_pain","Cần phân biệt bạn đau là tổn thương ở vùng da, phần mềm trên thành bụng hay đau các tạng trong ổ bụng. Tình trạng đau bụng dưới rốn như bạn mô tả hướng đến các tổn thương phần mềm ở thành bụng hơn. Bạn nên thăm khám trực tiếp bác sĩ sẽ đánh giá chính xác tình trạng. Trong trường hợp này, siêu âm bụng là biện pháp dễ thực hiện và cần thiết làm."
"Giảm thị lực, mệt mỏi là dấu hiệu bệnh gì?","fatigue, malaise","Suy giảm thị lực là tình trạng giảm khả năng nhìn ở một mức độ nào đó, gây ra những vấn đề không thể khắc phục được bằng đeo kính hoặc ở những người có khả năng nhìn kém khi không đeo kính hoặc kính áp tròng.Suy giảm thị lực phổ biến nhất là tật khúc xạ: Cận thị, viễn thị, loạn thị, bong võng mạc, mỏi mắt, đục thủy tinh thể, viêm kết mạc, bệnh tăng nhãn áp.Bên cạnh đó, suy giảm thị lực còn có thể bị gây ra bởi một số nguyên nhân khác như: Bệnh tiểu đường, huyết áp không ổn định, bệnh bạch tạng, chấn thương mắt, chấn thương sọ não.Trong hầu hết các trường hợp, cơn choáng váng (chóng mặt) sẽ giảm dần trong vòng vài phút, vài giờ và sẽ hết sau khi nghỉ ngơi, ăn uống đầy đủ. Tuy nhiên, nếu cơn chóng mặt diễn ra thường xuyên và không giảm, nó có thể xuất phát từ những nguyên nhân bệnh lý.Rối loạn tiền đình: Tình trạng này có thể xuất phát từ nhiều nguyên nhân như: Viêm dây thần kinh số 8 bởi virus, do thoái hóa, do viêm tai giữa,...Rối loạn tiền đình sẽ gây ra triệu chứng chóng mặt quay cuồng rất dữ dội, có thể kèm buồn nôn, nôn, da xanh tái.Huyết áp thấp: Nếu cơn chóng mặt thường xuyên xuất hiện, đi kèm những triệu chứng như thở dốc khi vận động, khó thở,...thì đây cũng có thể là dấu hiệu cho thấy bạn đang mắc phải bệnh huyết áp thấp. Khi huyết áp thấp, máu sẽ không được cung cấp đầy đủ đến não bộ, gây nên đứng không vững, choáng váng.Thiếu máu, tuần hoàn máu kém: Nếu bạn bị thiếu máu, cơ thể bạn không nhận được đủ máu giàu oxy gây cảm giác mệt mỏi, khó thở, chóng mặt, xanh xao, hay nhức đầu. Thiếu máu có thể xuất phát từ chế độ ăn uống thiếu chất lâu ngày, phụ nữ bị rong kinh, người bị nhiễm giun sán,...Làm việc căng thẳng: Tình trạng chóng mặt có thể xảy ra khi đầu óc bị căng thẳng, hoặc phải tập trung làm việc trên máy tính trong thời gian dài.Để ngăn chóng mặt do căng thẳng lâu dài cần thường xuyên tập thể dục, giảm uống rượu bia và chất kích thích như cà phê. Người bệnh có thể tập thiền, tập hít thở sâu để giảm triệu chứng và cải thiện chất lượng sống.Nếu triệu chứng giảm thị lực, mệt, chóng mặt kéo dài và diễn ra liên tục bạn hãy đến khám bác sĩ Nội Thần kinh kiểm tra làm thêm các thăm dò chuyên sâu tìm nguyên nhân giảm thị lực và chóng mặt."
"Nhức đầu, đau cơ cổ kèm sưng vùng dưới hàm là dấu hiệu bệnh gì?",muscle_pain,"Theo các dấu hiệu bạn mô tả bao gồm đau đầu, sốt, sưng vùng dưới hàm và đau cơ cổ hai bên có thể bạn đang mắc quai bị. Quai bị là bệnh lý do nhiễm virus gây viêm tuyến mang tai, có thể gây biến chứng viêm tinh hoàn - mào tinh ở nam. Tuy nhiên, các dấu hiệu trên cũng có thể là biểu hiện của tình trạng viêm hạch dưới hàm, viêm hạch phản ứng trong trường hợp viêm nhiễm đường hô hấp trên - nhất là khi dịch Covid-19 đang diễn biến phức tạp như hiện tại, việc thực hiện test tầm soát Covid-19 cũng như thực hiện các biện pháp giữ an toàn cho bản thân và cộng đồng là rất quan trọng. Ngoài ra, các trường hợp sốt, đau đầu, đau cơ cổ 2 bên nếu gây cổ gượng cần nghĩ đến bệnh lý viêm não, màng não. Bạn có thể dùng Paracetamol để giảm đau, hạ sốt tuy nhiên cần gặp bác sĩ để có thể khám, thực hiện một số xét nghiệm cần thiết, từ đó có kết luận về tình trạng bệnh cũng như tư vấn điều trị hiệu quả."
"Hiện tại tôi bị bệnh viêm phổi tắc nghẽn mãn tính COPD. Vào mùa lạnh hoặc mỗi lần bị cảm, tôi thường cảm thấy khó thở và phải nhập viện để thở khí dung và thỉnh thoảng phải thở oxy. Đối với trường hợp bệnh tình hiện tại, liệu tôi tiêm vaccine Covid-19 có an toàn không?",breathlessness,"Các bệnh lý mãn tính đã ổn định trong vòng 3 tháng trước khi tiêm chủng (có nghĩa là bệnh không cần thay đổi điều trị đáng kể hoặc nhập viện vì bệnh lý nặng hơn) thì hoàn toàn có thể tiêm vaccine Covid-19. Nếu tình trạng viêm phổi tắc nghẽn mãn tính mà trong 3 tháng qua, sức khỏe ổn định không có cơn khó thở thì anh sẽ được các bác sĩ chỉ định tiêm chủng phù hợp. Tuy nhiên, bác sĩ sẽ dặn rất kỹ các phản ứng sau tiêm để anh hiểu và nhận biết phối hợp cùng nhân viên y tế để xử trí nếu có xảy ra."
"Đau đầu khi nghe tiếng còi xe, hay quên là dấu hiệu bệnh gì?",headache,"Nghe bạn kể có thể bạn bị đau đầu căng thẳng, khả năng chịu áp lực kém, dễ xuất hiện cơn đau đầu khi có kích thích. Tuy vậy triệu chứng đau đầu của bạn đã kéo dài 02 năm, bạn nên khám và chụp kiểm tra não, kiểm tra sức khỏe toàn thân để tìm nguyên nhân gây đau đầu."
Có nên uống thuốc Valiera khi bị ứ dịch cổ tử cung sau phá thai bằng thuốc không?,fluid_overload,Valeria có thành phần Estradiol - hormon sinh dục nữ. Các nghiên cứu liên quan đến nguy cơ ung thư nội mạc tử cung do dùng hormon thường trên đối tượng dùng kéo dài nhiều năm. Vì vậy bạn có thể dùng thuốc này trong thời gian ngắn theo đúng chỉ định của bác sĩ.
"Em có các loại bệnh gồm dị ứng hải sản, trứng; rối loạn lo âu, nếu lo âu khó thở. Em xin hỏi trước khi đi tiêm vaccine Covid-19 có thể uống thuốc được không? Nếu bác sĩ yêu cầu tiêm tại bệnh viện thì khi nào mới được tiêm và thủ tục đăng ký tại bệnh viện nào để được tiêm.","anxiety, breathlessness","Về phần dị ứng, chúng tôi không biết mức độ dị ứng nhiều hay ít, có phải nhập viện điều trị sau mỗi lần dị ứng hay không?Nếu chỉ nổi mẩn đỏ trên da, không cần nhập viện vẫn hết, chị có thể tiêm vaccine Covid-19 được, nhưng nếu phải nhập viện do dị ứng thì chị đang nằm trong đối tượng chống chỉ định tiêm vaccine Covid-19. Bệnh rối loạn lo âu của chị chưa điều trị ổn định (khi lo âu khó thở), chị cần phải điều trị bệnh ổn định >3 tháng mới tiêm vaccine Covid-19 được. Nếu tiêm được chỉ nên tiêm vaccine Covid-19 tại bệnh viện, nơi có đầy đủ phương tiện cấp cứu, chị đăng ký tại địa phương của mình để biết được mình sẽ tiêm tại bệnh viện nào nhé."
Chóng mặt kèm buồn nôn sau khi hết đau đầu là bệnh gì?,"nausea, dizziness, headache","Bạn bị chóng mặt, buồn nôn sau khi hết đau đầu hay gặp trong nhiều bệnh mô tả gặp trong nhiều bệnh, những bệnh thường gặp do rối loạn tiền đình ốc tai, thường lành tính; nếu bệnh kéo dài, tái phát nhiều lần có thể rối loạn tiền đình sau u dây thần kinh số 8, đau đầu migraine, xơ cứng rải rác, . . . Do đó, bạn nên đến bệnh viện khám bác sĩ Tai mũi họng hoặc chuyên khoa Thần kinh để được các bác sĩ tư vấn và điều trị cụ thể."
"Có u tròn cạnh kẽ hậu môn kèm ngứa, khó đại tiện là dấu hiệu bệnh gì?",itching,"Anh nên đi khám xem mức độ bệnh như thế nào để bác sĩ có thể tư vấn phù hợp. Có thể anh bị trĩ ngoại tắc mạch, kèm nứt hậu môn."
Khó tập trung thì phải làm sao?,shivering,"Cháu có biểu hiện bị rối loạn tập trung, thường gặp trong bệnh cảnh rối loạn lo âu và một số bệnh thần kinh - tâm lý khác. Cháu nên khám chuyên khoa Thần kinh để được đánh giá tình trạng bệnh, từ đó bác sĩ sẽ cho cháu lời khuyên phù hợp."
Khó thở tức ngực kèm chóng mặt có phải do hở van tim 2 lá 1/4 nặng hơn không?,"dizziness, breathlessness","Hở van hai lá 1/4 là rất thường gặp khi siêu âm tim và thường không gây triệu chứng như bạn mô tả. Tuy nhiên, nếu triệu chứng khó thở, tức ngực bạn gặp là thường xuyên bạn nên đi khám chuyên khoa Tim mạch để được khám chi tiết, chẩn đoán và điều trị."
Vì sao ăn nhiều vẫn không tăng cân?,weight_gain,"qua những thông tin đã kể, bác sĩ xin hỏi bạn có xổ giun bao giờ chưa?Nếu đã xổ giun rồi mà vẫn không cải thiện được thì bạn nên đến khám tại một bệnh viện hoặc phòng khám lớn để các bác sĩ kiểm tra xem bạn có mắc hội chứng kém hấp thu hay không."
"Tôi bị cao huyết áp, rung nhĩ cơn, mỡ máu, xin hỏi tôi muốn tiêm vacccine ngừa Covid-19 có được không?",shivering,"Theo các thông tin liên quan sức khỏe mô tả thì anh/chị có nhiều bệnh nền kết hợp, trong trường hợp các bệnh lý nền đều có dùng thuốc điều trị có kiểm soát tốt ổn định trong vòng 3 tháng qua, anh/chị không nhập viện thay đổi phác đồ điều trị thì vẫn đủ điều kiện tiêm vaccine Covid-19. Để đảm bảo an toàn trong việc tiêm vaccine Covid-19, anh/chị nên thăm khám, đánh giá và tham khảo ý kiến của bác sĩ điều trị về tình trạng các bệnh lý nền đang mắc phải trước khi tiến hành tiêm vaccine. Đồng thời anh/chị nên tiêm vaccine Covid-19 tại khối bệnh viện hoặc cơ sở y tế có đủ năng lực hồi sức cấp cứu ban đầu."
"Huyết cao không tiêm được tại các điểm tiêm tập trung, bác sĩ bảo phải vào bệnh viện tiêm. Vậy xin hỏi khi nào bệnh viện triển khai tiêm cho những trường hợp cao huyết áp như tôi?",shivering,"Nếu tình trạng huyết áp của chị trong thời gian qua ổn định (không phải tăng liệu trình điều trị hoặc không phải nhập viện điều trị vì tình trạng huyết áp hay tim mạch) và các chỉ số về sinh hiệu như huyết áp, mạch, nhịp tim, nhịp thở, SpO2 và tình trạng sức khỏe tốt thì chị vẫn có thể tiêm vaccine Covid-19. Tuy nhiên nếu, chị bị huyết áp cao > 140/90 mmHg thì chị cần được thăm khám và tiêm chủng tại bệnh viện hoặc cơ sở y tế đủ năng lực cấp cứu ban đầu. Hiện nay, vaccine phòng Covid-19 đang được triển khai tiêm miễn phí và tiêm tập trung theo chiến dịch cho các nhóm đối tượng ưu tiên theo quy định của Nhà nước và Bộ Y tế (Nghị quyết 21/NQ-CP ngày 26 tháng 2 năm 2021). Trường hợp chị muốn tiêm ngừa tại bệnh viện xin vui lòng đợi thêm các hướng dẫn mới của Bộ Y tế."
"Thường xuyên nổi nóng không kiềm chế được, phải làm sao?",swollen_blood_vessels,"với tình hình hiện tại thì bạn nên đặt hẹn để được bác sĩ chuyên khoa khám, tư vấn cho bạn về hướng điều trị đúng nhất nhé."
Thường‌ ‌xuyên‌ ‌bị‌ ‌nổi‌ ‌mày‌ ‌đay‌ ‌phải‌ ‌làm‌ ‌sao?‌,swollen_blood_vessels,"Theo như bạn mô tả, thì tôi có thể chẩn đoán bạn bị bệnh Mày đay mạn tính. Bệnh này cần làm một số xét nghiệm để tìm các nguyên nhân thường gặp, sau đó mới có chỉ định điều trị cụ thể"
"Nổi mụn cóc trên da, đốt nhưng không hết nên điều trị thế nào?",swollen_blood_vessels,"Mụn cóc nguyên nhân do virus gây nên và bệnh có thể lây lan. Tốt nhất em nên đến khám bác sĩ da liễu để điều trị bằng laser (hoặc đốt điện) loại bỏ tổn thương, tránh lây lan."
Viêm mũi dị ứng gây nghẹt mũi nên làm gì?,congestion,"Triệu chứng viêm mũi dai dẳng như thế này, em đã điều trị nhiều nơi nhưng không khỏi, tốt nhất em nên khám lại tại chuyên khoa Tai - Mũi - Họng để được bác sĩ trực tiếp kiểm tra và đưa ra hướng điều trị phù hợp."
"Cháu năm nay 34 tuổi, cháu bị dị ứng với bọ nhà, tuy chưa phải nhập viện nhưng cũng có lần cháu bị dị ứng người nổi mẩn ngứa thành các cục quanh người, có lần cháu bị dị ứng nóng hết người, khó thở phải đi viện. Hiện công ty cháu đang tổ chức tiêm theo đợt vaccine Astrazeneca vậy cháu có tiêm được vaccine hay không?","swollen_blood_vessels, breathlessness, itching",Theo bạn chia sẻ thì chị của bạn bị dị ứng bọ nhà và có khó thở phải nhập viện thì trường hợp này anh/chị thuộc nhóm chống chỉ định tiêm vaccine Covid-19 theo hướng dẫn 2995 của Bộ Y tế.
"Sau 10 năm phẫu thuật cắt bỏ tuyến tiền liệt đi tiểu không hết nước, tiểu nhiều lần cùng một lúc là bị làm sao?",polyuria,"Tuyến tiền liệt là một trong phần hệ thống sinh sản của người đàn ông, nó nằm ở phía trước trực tràng và dưới bàng quang, bao quanh niệu đạo, qua đó nước tiểu chảy ra ngoài. Sau 10 năm phẫu thuật cắt bỏ tuyến tiền liệt đi tiểu không hết nước, tiểu nhiều lần cùng một lúc ở độ tuổi của bác và triệu chứng như vậy là chấp nhận được trên diễn tiến bệnh."
"Em năm nay 34 tuổi, chồng 36 tuổi. Vợ chồng em hiếm muộn năm năm, vợ AMH 1.2 (xét nghiệm mới nhất tháng 10/2020) ít trứng, chồng tinh trùng Oat nặng, phân mảnh 23%. Em đã kích trứng ba lần, mỗi lần chỉ được 3-5 nang trưởng thành tạo phôi. Em chuyển ba lần phôi ngày ba không có beta, một lần chuyển phôi ngày năm loại trung bình thì bị sinh hóa. Hiện tại em đã hết phôi, mong bác sĩ tư vấn tiếp theo vợ chồng em nên làm thế nào ạ?",shivering,"Trong trường hợp của chị có hai khó khăn từ cả phía chị và cả phía người chồng. Ở phía chị, trứng còn khá ít ở độ tuổi 34, AMH là 1, 2, mỗi lần kích trứng chỉ lên được một số nang, đây cũng là một phần để đánh giá bước tiếp theo sẽ có khó khăn. Thông tin này cũng đưa ra định hướng chị nên tiếp tục làm IVF sớm để đề phòng trường hợp dự trữ buồng trứng của chị cạn kiệt, nếu vậy sẽ không làm được nữa. Về phía người chồng, tinh trùng rất yếu (tinh trùng OAT). Với tinh trùng yếu như thế, cơ hội tìm ra tinh trùng bình thường vẫn có nhưng có thể sẽ giảm so với trường hợp bình thường. Kết hợp hai vấn đề của anh chị, các bác sĩ cũng dự liệu được số phôi tạo ra được sẽ ít, như vậy một lần làm IVF không được nhiều phôi hay nhiều lần chuyển phôi. Nếu chuyển hết phôi có thể sẽ phải làm lại, tuy nhiên ở đây chị cũng đã chuyển phôi nhiều lần, nên ngoài vấn đề dự trữ buồng trứng và tinh trùng yếu hoặc bất thường, chị còn vấn đề gì khác liên quan đến khả năng đậu thai và mang thai hay không. Điều này chị phải đến thăm khám và đánh giá lại cẩn thận. Bên cạnh đó, bác sĩ vẫn có giải pháp để giảm bớt vấn đề chuyển phôi thất bại nhiều lần. Trong trường hợp có điều kiện có thể tiến hành làm sàng lọc phôi, nếu trong trường hợp phôi bị bất thường thì có thể chúng ta sẽ không chuyển phôi mà chỉ chuyển những phôi bình thường, nhằm tăng khả năng đậu thai cho một lần chuyển phôi và giảm nguy cơ mang thai phát triển bất thường (thai sinh hóa, thai lưu. . . )."
